"hotel_name","city","address","rating","top_attractions","Restaurants & cafes","Public transit","Closest Airports","Parking","Languages Spoken","Check_in","Check_out","Pets_allowance","facilities"
"Radisson Collection Hotel, Berlin","Berlin","Karl-Liebknecht-Str. 3, Mitte, 10178 Berlin, Germany Excellent location – rated 9.7/10!","8.7","['The Brandenburg Gate\n1.7 km', 'Topography of Terror\n2.5 km', 'Alexanderplatz\n900 m', 'Holocaust Memorial\n2 km', 'Pergamon Museum\n550 m', 'Natural History Museum, Berlin\n2.3 km', 'Gendarmenmarkt\n1.1 km', 'Neues Museum\n450 m', 'Berlin TV Tower\n450 m', 'German Historical Museum\n450 m']","['RestaurantEspresso House\n50 m', 'RestaurantHeat\n50 m', ""RestaurantBandy's Currywurst\n40 m""]","['TrainHackescher Markt Station 500 m', 'SubwayMuseumsinsel Underground Station 250 m', 'SubwayRotes Rathaus Underground Station 500 m', 'TrainS-Bahn-Hackescher Markt 450 m', 'BusLustgarten 250 m', 'BusSpandauer STR./Marienkirche 200 m']","['Berlin Brandenburg Airport Willy Brandt\n27 km']","False","['Spanish', 'English', 'German', 'French', 'Italian']","From 3:00 PM","Until 12:00 PM","False","['Non-smoking rooms', 'Spa', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Family rooms', 'Bar', 'Parking on site', 'Wonderful Breakfast', 'Indoor swimming pool', 'Free Wifi']"
"InterContinental Berlin by IHG","Berlin","Budapester Str. 2, Mitte, 10787 Berlin, Germany Excellent location – rated 9.1/10!","","['Memorial of the Berlin Wall\n5 km', 'Potsdamer Platz\n2.4 km', 'Natural History Museum, Berlin\n3.9 km', 'German Historical Museum\n4 km', 'Gendarmenmarkt\n3.6 km', 'Pergamon Museum\n4.4 km', 'The Brandenburg Gate\n2.8 km', 'Neues Museum\n4.5 km', 'Topography of Terror\n3.1 km', 'Holocaust Memorial\n2.6 km']","['RestaurantHugos Restaurant\n1 m', 'RestaurantL.a. Cafe\n1 m', 'RestaurantJa Niko Ja\n50 m']","['TrainZoologischer Garten Train Station 1.1 km', 'BusCorneliusbrücke 250 m', 'SubwayWittenbergplatz 750 m', 'TrainBayern, Express & P. Kühn Berlin 1.3 km', 'BusBudapester STR. 50 m']","['Berlin Brandenburg Airport Willy Brandt\n28 km']","False","[]","From 3:00 PM","Until 12:00 PM","False","['Non-smoking rooms', 'Spa', 'Fitness center', 'Bar', 'Family rooms', 'Parking on site', 'Wonderful Breakfast', 'Indoor swimming pool', 'Airport shuttle', 'Free Wifi']"
"Hilton Berlin","Berlin","Anton-Wilhelm-Amo-Str. 30, Mitte, 10117 Berlin, Germany Excellent location – rated 9.4/10!","","['Alexanderplatz\n2 km', 'Holocaust Memorial\n1.2 km', 'Pergamon Museum\n1.3 km', 'Natural History Museum, Berlin\n2.5 km', 'The Brandenburg Gate\n1.4 km', 'Berlin TV Tower\n1.8 km', 'Neues Museum\n1.4 km', 'Topography of Terror\n1.2 km', 'Gendarmenmarkt\n250 m', 'Potsdamer Platz\n1.3 km']","['RestaurantListo Lounge\n0 m', 'RestaurantHilton Kantine\n0 m', 'RestaurantBerlin Capital Club\n0 m']","['TrainAm Kupfergraben 1.1 km', 'BusU Stadtmitte/Krausenstr. 400 m', 'SubwayU Stadtmitte (U2) 50 m', 'BusJerusalemer Str. 450 m', 'SubwayHausvogteiplatz Metro Station 200 m', 'TrainUniversitätsstr. 1 km']","['Berlin Brandenburg Airport Willy Brandt\n24 km']","False","[]","From 2:00 PM","Until 11:00 AM","False","['Non-smoking rooms', 'Spa', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Family rooms', 'Bar', 'Parking on site', 'Very Good Breakfast', 'Indoor swimming pool', 'Free Wifi']"
"Steigenberger Hotel Am Kanzleramt","Berlin","Ella-Trebe-Straße 5, Mitte, 10557 Berlin, Germany Excellent location – rated 9.5/10!","8.8","['Holocaust Memorial\n1.7 km', 'Gendarmenmarkt\n2.6 km', 'Pergamon Museum\n2.7 km', 'Neues Museum\n2.7 km', 'Topography of Terror\n2.8 km', 'Memorial of the Berlin Wall\n2.3 km', 'Großer Tiergarten Park\n1.2 km', 'German Historical Museum\n2.6 km', 'Potsdamer Platz\n2.1 km', 'The Brandenburg Gate\n1.5 km']","['Cafe/BarStarbucks\n300 m', 'RestaurantCapital Beach\n250 m', 'RestaurantVapiano\n200 m']","['TrainClara-Jaschke-STR. 250 m', 'BusLehrter STR./Invalidenstr. 450 m', 'SubwayBundestag Metro Station 750 m', 'BusLesser-Ury-Weg 600 m', 'TrainBerlin Central Station 250 m', 'SubwayHauptbahnhof Metro Station 300 m']","['Berlin Brandenburg Airport Willy Brandt\n28 km']","False","['English', 'German']","From 3:00 PM","Until 12:00 PM","False","['Fitness center', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Wonderful Breakfast', 'Spa', 'Parking on site', 'Family rooms', 'Restaurant', 'Non-smoking rooms']"
"Hampton by Hilton Berlin City Centre Alexanderplatz","Berlin","Otto-Braun-Straße 69 , Mitte, 10178 Berlin, Germany Excellent location – rated 9/10!","8.1","['Holocaust Memorial\n3.3 km', 'German Historical Museum\n1.9 km', 'Natural History Museum, Berlin\n3.1 km', 'The Brandenburg Gate\n3.2 km', 'Potsdamer Platz\n3.9 km', 'Neues Museum\n1.9 km', 'Topography of Terror\n3.6 km', 'Pergamon Museum\n1.9 km', 'Gendarmenmarkt\n2.3 km', 'Memorial of the Berlin Wall\n2.4 km']","['Cafe/BarEdelweiß Weihnachtsmarkt\n150 m', 'RestaurantZille-Stube\n350 m', 'RestaurantWandel\n200 m']","['BusMollstr./Prenzlauer Allee 300 m', 'TrainBüschingstr. 650 m', 'SubwayU-Bahn-Schillingstraße 650 m', 'BusMollstr./Otto-Braun-STR. 100 m', 'TrainBerlin Alexanderplatz 850 m', 'SubwayU-Bahn-Alexanderplatz 400 m']","['Berlin Brandenburg Airport Willy Brandt\n24 km']","False","['Polish', 'Italian', 'Arabic', 'French', 'English', 'German', 'Spanish', 'Russian']","From 3:00 PM","Until 12:00 PM","False","['Facilities for disabled guests', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Private Parking', 'Family rooms', 'Very Good Breakfast', 'Non-smoking rooms', '24-hour front desk']"
"NH Collection Berlin Mitte Friedrichstrasse","Berlin","Friedrichstr. 96, Mitte, 10117 Berlin, Germany Excellent location – rated 9.5/10!","8.6","['Holocaust Memorial\n1.2 km', 'Topography of Terror\n1.8 km', 'The Brandenburg Gate\n1 km', 'Natural History Museum, Berlin\n1.5 km', 'Neues Museum\n950 m', 'Alexanderplatz\n2.1 km', 'Memorial of the Berlin Wall\n2.1 km', 'Berlin TV Tower\n1.7 km', 'Potsdamer Platz\n1.9 km', 'Pergamon Museum\n900 m']","['RestaurantDean & David\n20 m', ""RestaurantMcDonald's\n50 m"", 'Cafe/BarStarbucks\n10 m']","['BusBrandenburger Tor (S+U)/Glinkastr. 450 m', 'TrainS-Bahn-Friedrichstraße 350 m', 'SubwayFriedrichstraße Metro Station 50 m', 'BusS+U Brandenburger Tor/Glinkastr. 550 m', 'SubwayU-Bahn-Friedrichstraße 40 m', 'TrainBahnhof Berlin Friedrichstraße 200 m']","['Berlin Brandenburg Airport Willy Brandt\n27 km']","False","['English', 'Spanish', 'German', 'Italian']","From 3:00 PM","Until 12:00 PM","False","['Airport shuttle', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Private Parking', 'Wonderful Breakfast', 'Family rooms', 'Restaurant', 'Non-smoking rooms']"
"Grand Hyatt Berlin","Berlin","Marlene-Dietrich-Platz 2, Mitte, 10785 Berlin, Germany Excellent location – rated 9.4/10!","8.9","['Gendarmenmarkt\n1.9 km', 'Memorial of the Berlin Wall\n4 km', 'The Brandenburg Gate\n1.3 km', 'Pergamon Museum\n2.8 km', 'German Historical Museum\n2.4 km', 'Natural History Museum, Berlin\n2.9 km', 'Alexanderplatz\n3.7 km', 'Neues Museum\n2.9 km', 'Mauermuseum - Haus am Checkpoint Charlie\n1.5 km', 'Berlin TV Tower\n3.3 km']","['RestaurantLindenbräu am Potsdamer Platz\n10 m', 'RestaurantVox Restaurant\n10 m', 'RestaurantVox\n40 m']","['TrainS-Bahn-Potsdamer Platz 400 m', 'TrainBerlin Potsdamer Platz 400 m', 'BusPhilharmonie Süd 200 m', 'SubwayU-Bahn-Potsdamer Platz 450 m', 'SubwayPotsdamer Platz Metro Station 500 m', 'BusVarian-Fry-STR./Potsdamer Platz 250 m']","['Berlin Brandenburg Airport Willy Brandt\n30 km']","False","['Chinese', 'Polish', 'Croatian', 'French', 'English', 'German', 'Vietnamese', 'Spanish', 'Portuguese', 'Russian']","From 3:00 PM","Until 12:00 PM","False","['Fitness center', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Excellent Breakfast', 'Private Parking', 'Spa', 'Family rooms', 'Non-smoking rooms', 'Indoor swimming pool']"
"Park Inn by Radisson Berlin Alexanderplatz","Berlin","Alexanderplatz 7, Mitte, 10178 Berlin, Germany Excellent location – rated 9.5/10!","8.0","['Pergamon Museum\n1.4 km', 'Natural History Museum, Berlin\n2.7 km', 'Holocaust Memorial\n2.9 km', 'Potsdamer Platz\n3.5 km', 'Topography of Terror\n3.4 km', 'German Historical Museum\n1.4 km', 'Memorial of the Berlin Wall\n2.3 km', 'Gendarmenmarkt\n2 km', 'Quartier Schuetzenstrasse\n2.8 km', 'The Brandenburg Gate\n2.7 km']","['RestaurantBURGER KING\n50 m', 'Cafe/BarGood Bank\n300 m', ""RestaurantHumboldt's\n30 m""]","['BusAlexanderplatz Bahnhof (S+U)/Memhardstr. 150 m', 'SubwayAlexanderplatz Metro Station 400 m', 'TrainS-Bahn-Alexanderplatz 350 m', 'TrainBerlin Alexanderplatz 300 m', 'BusS+U Alexanderpl./Grunerstr. [Alexanderstr.] 30 m', 'SubwayU-Bahn-Alexanderplatz 200 m']","['Berlin Brandenburg Airport Willy Brandt\n24 km']","False","['Italian', 'French', 'English', 'German', 'Spanish']","From 3:00 PM","Until 12:00 PM","False","['Facilities for disabled guests', 'Fitness center', 'Free Wifi', '2 restaurants', 'Bar', 'Spa', 'Parking on site', 'Non-smoking rooms', 'Good Breakfast', '24-hour front desk']"
"Gorki Apartments","Rome","Weinbergsweg 25, Mitte, 10119 Berlin, Germany Excellent location – rated 9.8/10!","9.5","['Alexanderplatz\n1.6 km', 'The Brandenburg Gate\n2.9 km', 'Holocaust Memorial\n3.1 km', 'Neues Museum\n1.5 km', 'Pergamon Museum\n1.6 km', 'Gendarmenmarkt\n2.4 km', 'Berlin TV Tower\n1.6 km', 'Topography of Terror\n3.8 km', 'Natural History Museum, Berlin\n1.8 km', 'German Historical Museum\n1.8 km']","['RestaurantDatscha-Mitte\n0 m', 'RestaurantCapvin\n20 m', 'Restaurant100 Gramm Bar\n0 m']","['SubwayU-Bahn-Rosenthaler Platz 100 m', 'TrainZionskirchplatz 650 m', 'SubwayU-Bahn-Rosenthaler Platz 200 m', 'BusPappelplatz 650 m', 'TrainU-Bahnhof Rosa-Luxemburg-Platz 750 m', 'BusBrunnenstr./Invalidenstr. 400 m']","['Berlin Brandenburg Airport Willy Brandt\n26 km']","False","['Weinbergspark350 m', 'Memorial of the Berlin Wall1.1 km', 'Kolle 371.3 km', 'Monbijou Park1.2 km', 'Berlin Dungeon1.3 km', 'James-Simon-Park1.1 km', 'Italian', 'Polish', 'French', 'Hirschhof1.1 km', 'German', 'English', 'Arkonaplatz900 m', 'Jacob-Teitel-Park450 m', 'KW Institute for Contemporary Art800 m', 'Spanish']","From 3:00 PM","Until 12:00 PM","False","['Airport shuttle', 'Free Wifi', 'Breakfast', 'Private Parking', 'Elevator', 'Laundry', 'Garden', 'Family rooms', 'Non-smoking rooms', '24-hour front desk']"
"Mr(s)STiL Design Apartments","Rome","7 Sächsische Straße, Charlottenburg-Wilmersdorf, 10707 Berlin, Germany Excellent location – rated 9.4/10!","9.6","['Pergamon Museum\n6 km', 'The Brandenburg Gate\n5 km', 'Holocaust Memorial\n5 km', 'Topography of Terror\n5 km', 'German Historical Museum\n6 km', 'Memorial of the Berlin Wall\n7 km', 'Neues Museum\n6 km', 'Potsdamer Platz\n4.7 km', 'Natural History Museum, Berlin\n6 km', 'Gendarmenmarkt\n6 km']","['RestaurantSushi Paris\n150 m', 'RestaurantKochkunst & Ereignisse\n20 m', 'RestaurantRico Falafel\n100 m']","['SubwayHohenzollernplatz Underground Station 750 m', 'BusPariser STR. 500 m', 'TrainSavignyplatz 950 m', 'SubwayU-Bahn-Hohenzollernplatz 700 m', 'TrainS-Bahn-Savignyplatz 1,000 m', 'BusOlivaer Platz Süd 500 m']","['Berlin Brandenburg Airport Willy Brandt\n29 km']","False","['English', 'Russian', 'German', 'Ukrainian']","From 3:00 PM to 11:00 PM","From 8:00 AM to 11:00 AM","False","['Facilities for disabled guests', 'Free Wifi', 'Heating', 'Daily housekeeping', 'Elevator', 'Room service', 'Laundry', 'Wonderful Breakfast', 'Family rooms', 'Non-smoking rooms']"
